ra_deg	dec_deg	v_mag	b_v
8.73068	13.37114	6.39	1.136
8.81200	-3.59285	5.20	0.567
8.88681	-0.50561	5.94	0.444
8.88891	-54.82187	6.04	1.001
8.92157	-48.00091	5.51	0.461
8.97834	13.20707	6.32	0.517
9.01315	-14.97304	6.45	1.063
9.02857	-22.84233	6.06	0.297
9.03463	54.16845	5.08	-0.098
9.11394	60.32621	5.78	0.294
9.15688	-65.12445	6.43	1.260
9.19350	44.48859	5.14	1.587
9.19713	15.23173	5.89	-0.146
9.22021	33.71934	4.34	-0.123
9.24285	53.89691	3.69	-0.196
9.27996	24.01414	6.18	1.170
9.32603	-54.39382	6.40	0.995
9.33625	-24.76727	5.57	0.715
9.33841	35.39950	5.45	0.886
9.37705	3.13535	6.43	1.339
9.63894	29.31175	4.34	0.871
9.70326	-25.10782	6.43	1.482
9.79123	49.35459	5.45	1.644
9.83198	30.86102	3.27	1.268
9.84086	21.25047	5.88	0.850
9.94686	82.49376	6.38	0.551
9.96646	-44.79629	6.00	1.142
9.98155	21.43850	5.36	1.160
10.10696	-59.45460	5.89	0.564
10.11909	-16.51668	6.49	0.910
10.12684	56.53733	2.24	1.170
10.13670	-23.80488	6.14	0.718
10.17655	-4.35184	5.90	1.091
10.27994	39.45866	5.30	0.891
10.33147	-46.08501	4.59	0.953
10.40018	24.62901	6.06	0.298
10.44332	-56.50132	5.72	0.131
10.51426	66.14759	5.83	1.042
10.51623	50.51253	4.80	-0.105
10.61822	-65.46803	5.38	0.515
10.62934	58.75341	6.18	-0.004
10.67479	-60.26281	5.99	1.318
10.67872	-38.46348	6.05	-0.024
10.83849	-57.46306	4.36	0.024
10.86696	47.02455	4.95	0.170
10.89738	-17.98660	2.04	1.019
10.95870	-12.01181	6.01	1.107
11.04751	-10.60955	4.77	0.998
11.05041	-38.42169	5.90	1.144
11.10913	47.86398	5.66	-0.113
11.13189	-62.49759	6.06	0.446
11.18132	48.28436	4.48	-0.069
11.18498	-22.00614	5.22	0.350
11.23772	-42.67656	5.94	0.297
11.24975	-53.71490	6.15	0.524
11.32156	55.22140	5.41	0.022
11.35052	-4.62916	6.15	1.652
11.36953	-12.88081	6.15	0.603
11.41282	74.98807	5.64	0.078
11.42378	-16.42422	6.47	0.314
11.43997	-47.55199	5.80	0.635
11.54506	44.86150	6.03	-0.063
11.54897	-22.52210	5.49	0.978
11.63733	15.47550	5.36	1.559
11.66044	69.32541	6.39	0.424
11.67691	59.57454	6.41	1.081
11.75608	11.97385	5.51	0.987
11.80678	19.57870	6.11	0.270
11.83469	24.26718	4.08	1.100
11.84847	6.74096	5.98	0.941
11.93008	-18.06134	5.70	1.300
11.94189	74.84757	5.42	-0.066
12.00444	-21.72249	5.57	-0.058
12.03807	72.67448	5.86	1.010
12.07254	7.29993	5.92	1.104
12.09574	5.28061	5.74	0.890
12.14757	-74.92344	5.09	1.345
12.17060	7.58508	4.44	1.500
12.20842	50.96817	4.90	-0.091
12.23637	-46.69765	6.28	0.897
12.24462	16.94064	5.07	0.502
12.27621	57.81519	3.46	0.587
12.30812	-24.13667	5.90	0.944
12.35673	-13.56127	5.59	1.325
12.38929	-23.36214	6.27	0.132
12.45353	41.07891	4.53	-0.136
12.47152	27.71029	5.55	0.398
12.51570	-43.39492	6.49	0.286
12.53163	-10.64433	5.17	0.514
12.57610	45.00226	6.13	0.043
12.67161	-50.98682	5.24	0.356
12.68172	64.24755	5.35	0.528
12.73915	51.50803	6.38	0.307
12.81826	61.80549	6.04	1.880
12.82635	3.38502	6.39	1.069
12.89078	51.57143	6.22	0.032
13.16927	-24.00584	5.47	1.275
13.25206	-1.14426	4.78	1.550
13.26749	61.12397	4.80	0.540
13.30192	-24.77688	6.44	0.439
13.36760	37.41821	6.07	1.139
13.40781	-62.87135	5.73	1.574
13.44833	52.68929	6.27	0.191
13.57330	-8.74066	6.15	0.911
13.64678	19.18842	5.80	-0.016
13.72122	83.70744	5.59	0.105
13.74211	23.62834	5.46	1.012
13.75065	58.97270	4.83	1.216
13.75130	-69.52708	5.45	1.095
13.77168	48.67852	6.28	1.681
13.81114	24.55706	6.19	1.546
13.92667	-7.34715	5.88	1.520
13.98140	-27.77584	6.11	1.674
13.99379	27.20938	6.08	0.133
14.00621	-11.26653	5.35	1.505
14.03800	13.95196	6.46	0.962
14.05405	57.99656	6.20	1.376
14.16627	59.18106	4.62	0.957
14.17722	60.71674	2.15	-0.046
14.18838	38.49934	3.86	0.130
14.19572	60.36284	5.56	-0.054
14.22978	68.77566	6.39	0.375
14.30167	23.41765	4.40	0.940
14.33169	61.42190	6.44	0.940
14.41519	45.83938	6.10	1.028
14.45897	28.99222	5.44	1.076
14.47713	13.69587	6.30	0.895
14.55925	33.95088	5.99	1.000
14.57872	21.40449	6.47	0.089
14.59262	-60.69624	6.23	0.096
14.62943	66.35179	5.97	-0.008
14.65150	-29.35745	4.30	-0.154
14.68278	-11.37998	5.62	0.949
14.95703	6.48323	6.14	1.654
15.01483	44.71324	5.69	-0.010
15.12919	70.98299	6.40	0.135
15.32615	-38.91653	5.59	1.185
15.36268	49.54422	6.48	1.099
15.41102	-16.26557	6.47	1.184
15.50759	-57.00239	6.12	0.935
15.57694	51.03494	6.48	0.122
15.61014	-31.55201	5.50	0.083
15.67878	-65.45610	6.25	1.634
15.70457	31.80426	5.50	-0.043
15.70496	-46.39731	5.39	0.900
15.72609	41.34516	5.95	0.161
15.73587	7.89014	4.27	0.952
15.75645	47.37616	6.46	0.248
15.76057	-4.83660	5.40	1.106
15.82373	-29.52585	6.28	0.932
15.90419	61.07482	5.92	0.512
15.95428	1.36685	6.06	0.271
16.00996	52.50216	5.99	1.447
16.08105	61.58018	5.83	0.569
16.11511	29.65881	6.20	0.443
16.13574	-33.53285	6.44	1.071
16.21932	5.65626	6.03	1.525
16.27232	14.94613	5.64	0.420
16.40368	-9.97932	6.09	1.012
16.42065	21.47318	5.33	0.003
16.42380	21.46544	5.55	-0.048
16.45512	4.90837	6.35	0.383
16.52103	-46.71841	3.32	0.885
16.52145	-9.83935	5.58	0.009
16.53210	-23.99245	6.12	1.076
16.54667	32.18149	6.28	1.308
16.64011	12.95604	6.14	0.962
16.75072	56.93497	6.41	1.188
16.78941	53.49819	6.31	1.499
16.80385	-23.99633	6.36	0.238
16.82777	-61.77529	5.36	0.884
16.94254	-9.78555	5.71	0.446
16.94939	-41.48692	5.21	0.159
16.98818	20.73911	5.56	0.121
16.99860	1.99304	6.44	0.847
17.00354	43.94209	5.04	0.109
17.00560	32.01213	6.23	0.398
17.06831	54.92034	5.17	0.704
17.09249	5.64982	5.51	0.334
17.09617	-55.24576	3.94	-0.120
17.13944	58.26345	5.77	-0.019
17.14746	-10.18226	3.46	1.161
17.18699	86.25709	4.24	1.213
17.30079	80.01158	6.24	0.922
17.37552	47.24179	4.26	0.012
17.43301	35.62056	2.07	1.576
17.45501	19.65841	5.57	0.697
17.53072	-57.69442	6.41	0.888
17.54767	15.67391	6.07	1.535
17.54978	-8.90614	6.40	1.029
17.57809	42.08147	5.67	0.603
17.58105	25.45776	5.81	1.466
17.63980	2.44567	5.97	1.491
17.66384	68.77862	5.32	-0.014
17.77568	55.14990	4.34	0.170
17.77820	31.42474	5.15	0.261
17.79282	37.72412	5.80	-0.095
17.85655	64.20268	5.56	-0.052
17.86342	21.03465	4.66	1.024
17.87072	10.29191	6.49	0.891
17.91515	30.08964	4.51	1.092
17.92251	65.01885	5.57	-0.072
17.93129	-2.25108	5.93	1.403
18.07009	79.67396	5.60	0.008
18.14201	45.33753	6.13	1.652
18.18930	-37.85648	5.95	0.281
18.24781	30.06423	6.24	0.980
18.29105	61.70619	6.40	0.018
18.43286	7.57535	5.21	0.320
18.43728	24.58371	4.67	1.047
18.43861	7.57826	6.44	0.492
18.52045	28.52957	6.33	1.684
18.53179	16.13348	5.97	-0.082
18.60017	-7.92283	5.14	0.448
18.67663	6.99514	6.04	1.081
18.70488	-0.97379	5.70	0.428
18.79634	-45.53166	4.97	0.571
18.94234	-68.87593	4.25	0.480
19.04958	71.74384	5.87	2.042
19.05496	87.14550	6.20	1.114
19.07884	33.11472	6.04	1.163
19.12866	79.91001	6.27	0.440
19.15120	-2.50037	5.42	0.888
19.26566	-66.39785	6.23	0.052
19.27110	44.90199	6.11	1.590
19.35047	31.74462	6.36	1.132
19.44982	3.61447	5.13	0.071
19.54229	47.41971	6.29	1.357
19.55785	57.80317	6.39	1.589
19.69587	37.38627	6.44	0.233
19.86665	27.26406	4.74	0.032
19.95123	-0.50903	5.87	0.635
20.02048	58.23161	4.95	0.683
20.08084	77.57068	6.31	0.912
20.11586	-11.23900	6.16	1.102
20.14405	-3.24699	6.26	1.013
20.27194	64.65813	6.33	0.113
20.28072	28.73821	5.23	1.396
20.49627	76.23880	6.37	0.283
20.58508	45.52878	4.87	1.077
20.62700	-19.08121	6.35	0.493
20.65397	1.72633	6.21	1.482
20.83924	58.14299	6.36	0.457
20.85395	20.46897	5.97	1.677
20.87899	-30.94562	5.84	1.612
20.90615	34.24589	6.28	0.829
20.91923	37.71494	5.60	0.276
20.94501	78.72606	6.07	0.389
21.00585	-8.18326	3.60	1.065
21.01058	-8.00742	6.21	0.235
21.08543	-6.91466	5.92	0.407
21.16639	-15.66047	6.17	0.924
21.16994	-41.49255	5.42	1.030
21.17464	-44.52858	6.26	1.122
21.20284	-2.84859	6.17	0.959
21.27211	-64.36948	5.92	1.561
21.39866	23.51152	6.18	0.447
21.40515	-14.59880	4.90	1.231
21.44300	70.97989	6.34	-0.011
21.45397	60.23528	2.66	0.160
21.48342	68.13001	4.72	1.047
21.53660	34.57970	6.34	0.500
21.56359	19.17235	5.35	0.395
21.57786	43.45774	5.98	0.520
21.59832	20.07080	6.44	0.947
21.61395	-0.39903	6.42	1.241
21.67366	19.24042	5.50	1.106
21.71485	-13.05651	5.51	0.321
21.77637	34.37755	6.27	0.453
21.84712	-22.33823	6.43	1.122
21.86114	41.10116	6.42	0.311
21.91409	45.40669	4.83	0.421
21.94393	-10.90158	6.13	1.320
22.09136	-43.31823	3.41	1.542
22.09548	7.96135	6.22	1.114
22.37725	-46.75642	6.25	1.658
22.40056	-21.62934	5.11	0.028
22.42840	-25.61775	6.37	1.141
22.47026	18.35567	6.01	0.162
22.52543	47.00727	5.27	0.999
22.54631	6.14382	4.84	1.372
22.59544	-26.20785	5.92	1.327
22.71717	66.09809	6.15	0.070
22.80732	70.26460	5.82	0.489
22.81294	-49.07270	3.93	0.972
22.87087	15.34582	3.62	0.974
22.91252	-45.57571	6.17	0.066
22.93020	-30.28308	5.79	1.073
23.03157	34.79996	6.39	-0.103
23.15153	-49.72771	6.27	0.462
23.23355	-36.86523	5.49	1.021
23.32616	8.20874	6.31	0.800
23.35713	58.32733	5.69	1.435
23.41321	-78.50482	6.11	0.970
23.42849	-7.02534	5.75	0.639
23.46133	89.01564	6.46	0.107
23.48282	59.23204	4.68	0.991
23.56919	37.23715	5.90	-0.067
23.65741	-15.67636	5.62	0.066
23.70444	18.46051	5.90	1.536
23.71160	-31.89232	6.11	1.109
23.71383	-3.52389	6.44	1.341
23.71488	-23.69968	6.41	1.306
23.81260	-58.13947	6.03	0.382
23.94351	14.66142	6.23	-0.036
23.96069	-39.94713	6.43	0.415
23.96907	41.07642	6.39	1.122
23.97815	17.43384	5.95	0.259
23.99570	-15.40018	5.41	1.226
24.03546	-29.90732	5.69	0.335
24.11333	48.72278	6.20	1.237
24.18136	7.83153	6.39	1.605
24.18665	-58.27097	6.18	1.607
24.19934	41.40546	4.10	0.536
24.27465	12.14153	5.54	0.347
24.36667	-84.76959	5.66	0.939
24.40710	-9.40378	6.24	0.528
24.42853	-57.23676	0.45	-0.158
24.44666	64.73936	6.49	0.776
24.46695	-3.44068	6.43	1.568
24.48151	-82.97500	5.88	0.620
24.49815	48.62821	3.59	1.275
24.53153	57.97763	5.55	1.388
24.61452	-36.52825	5.94	1.045
24.62882	73.04004	5.28	0.972
24.63260	45.39971	6.38	-0.021
24.71579	-21.27538	5.58	0.346
24.83751	44.38616	5.01	0.883
24.92008	16.40586	5.98	1.119
24.94810	-56.19640	5.76	0.880
25.05459	53.86828	6.35	1.608
25.14507	40.57705	4.96	-0.068
25.14553	8.76077	6.34	0.401
25.16521	43.29769	5.63	0.214
25.32656	25.74571	6.20	0.459
25.33946	-79.14820	6.33	0.947
25.35789	5.48761	4.45	1.347
25.36384	-38.13283	6.20	0.404
25.41349	30.04712	5.97	1.015
25.43681	-11.32467	5.75	0.443
25.44643	42.61337	4.96	0.618
25.44986	-60.78934	5.70	1.264
25.51247	-36.83230	5.70	-0.010
25.51454	35.24571	5.63	-0.059
25.53581	-32.32697	5.25	1.044
25.57376	58.62774	6.35	-0.027
25.58553	68.04302	5.57	-0.049
25.62215	-53.74083	5.52	0.551
25.62401	20.26850	5.24	0.836
25.68129	-3.69020	4.98	1.378
25.73277	70.62253	5.18	-0.022
25.74300	61.42107	6.33	0.013
25.81877	45.32265	6.33	1.020
25.83231	60.55133	5.78	-0.010
25.91516	50.68873	4.01	-0.098
25.95893	32.19201	6.32	0.879
25.97832	-4.76551	6.20	1.537
26.01701	-15.93748	3.49	0.727
26.07485	57.53662	6.18	0.131
26.11053	46.13969	6.32	1.419
26.18199	-6.76616	6.45	0.864
26.19238	57.08923	6.25	0.062
26.23260	20.08315	6.27	0.720
26.34846	9.15774	4.26	0.942
26.41149	-25.05261	5.29	0.395
26.49692	-5.73330	5.37	1.517
26.50441	-27.34883	6.38	0.366
26.52486	-50.81626	5.49	1.615
26.52610	-53.52204	5.04	0.031
26.81960	-41.75993	6.18	1.544
26.93681	63.85250	5.63	0.804
26.94352	-80.17631	6.05	0.338
26.94904	-37.15948	6.33	1.016
26.95006	46.22975	6.33	0.461
27.04557	16.95555	5.86	-0.039
27.10841	3.68545	5.91	0.970
27.16219	37.95287	5.94	0.975
27.17318	32.69021	5.78	0.572
27.31477	47.89692	6.01	0.170
27.33092	-31.07246	6.35	1.222
27.39626	-10.68641	4.66	0.333
27.45360	-38.40280	6.37	0.523
27.53571	22.27534	5.83	0.743
27.58409	-47.81639	6.14	0.998
27.71655	11.04338	5.92	0.302
27.72681	-50.20614	5.94	0.154
27.73803	51.93342	5.96	0.419
27.85982	-39.83594	6.44	1.094
27.86514	-10.33504	3.74	1.136
27.90750	-6.87414	6.42	1.233
27.94208	-15.64748	6.44	1.608
27.99717	55.14738	5.53	-0.175
28.03905	50.79279	5.70	-0.067
28.21135	51.47484	6.28	0.050
28.21714	-16.92925	5.78	0.260
28.27045	29.57883	3.42	0.488
28.32227	40.72979	5.42	1.311
28.34655	-38.59463	6.09	1.125
28.38256	19.29385	3.88	-0.047
28.38896	3.18754	4.61	0.928
28.41142	-46.30267	4.39	1.597
28.45214	55.59764	6.44	0.185
28.59180	-42.49695	5.12	-0.060
