ra_deg	dec_deg	v_mag	b_v
76.24173	-49.57784	5.05	1.484
76.25252	-54.40740	6.26	1.554
76.31748	-26.15239	5.71	1.166
76.34882	1.17763	6.10	3.332
76.36527	-22.37103	3.19	1.460
76.37773	-57.47270	4.71	0.526
76.38375	19.80672	6.48	0.219
76.50382	35.93639	6.49	0.184
76.53522	58.97237	5.22	-0.080
76.53873	-73.03767	6.26	0.010
76.55057	59.02134	6.08	1.112
76.62378	61.16976	6.00	1.380
76.62872	41.23447	3.18	-0.148
76.65310	-13.12262	6.04	-0.030
76.66929	51.59772	4.98	0.343
76.69022	-4.65516	5.12	-0.059
76.70648	43.17470	6.20	0.444
76.79064	-19.39187	6.47	0.648
76.85401	-12.49127	5.97	0.606
76.86253	18.64505	4.91	0.657
76.89178	-63.39968	5.19	1.646
76.90964	9.47178	6.15	0.625
76.95166	20.41838	5.28	0.118
76.95753	-12.59266	6.33	1.617
76.96244	-5.08645	2.78	0.161
76.97039	8.49843	5.33	0.338
76.98098	21.70482	5.84	0.168
77.02760	24.26517	5.50	0.030
77.05524	-15.09535	6.38	0.889
77.08413	-8.66532	5.80	-0.059
77.18208	-4.45621	5.11	0.455
77.28660	-8.75408	4.25	-0.187
77.33184	9.82958	5.43	0.249
77.40300	69.63940	6.43	1.101
77.42481	15.59723	4.81	0.313
77.43544	64.91949	6.37	0.448
77.43788	28.03046	5.93	0.311
77.51359	-0.56532	6.11	1.098
77.57836	37.30185	6.02	0.720
77.67883	46.96207	5.67	0.452
77.68580	-25.91046	6.40	1.246
77.74177	-2.25411	6.24	0.984
77.82990	-2.49078	5.89	0.462
77.84530	-11.84909	5.60	1.350
77.90965	29.90358	6.42	1.752
77.92318	16.04567	5.18	1.525
77.93896	1.03703	5.88	0.662
78.07459	-11.86922	4.45	-0.099
78.09358	73.94667	5.44	-0.108
78.20054	-6.05719	5.90	0.960
78.23292	-16.20547	3.29	-0.110
78.26173	61.85004	6.17	0.032
78.30782	-12.94129	4.36	-0.094
78.32284	2.86127	4.46	1.166
78.32269	37.33731	6.48	0.542
78.35716	38.48450	4.82	0.189
78.38018	62.69113	6.49	0.204
78.38149	1.96768	6.08	0.421
78.43939	-67.18526	4.81	1.274
78.44689	0.56042	6.33	1.463
78.47223	-52.03076	6.03	1.392
78.49979	-14.60687	6.22	0.377
78.62019	-35.97700	5.75	1.009
78.63447	-8.20164	0.18	-0.030
78.64801	76.47276	6.36	-0.011
78.68353	5.15615	5.50	1.369
78.68446	53.21395	6.16	0.084
78.79751	59.40569	6.15	1.179
78.82709	-1.40904	6.15	0.401
78.85155	-26.94351	5.06	-0.067
78.85164	32.68760	5.01	0.222
78.85349	-73.58848	6.49	0.150
78.86522	22.28486	6.26	0.075
78.91173	-52.18218	6.48	1.213
79.01723	11.34135	5.52	-0.012
79.04399	-11.35255	6.45	0.670
79.07562	34.31232	5.99	0.199
79.17100	1.94733	6.42	-0.015
79.17233	45.99799	0.08	0.795
79.37121	-34.89521	4.81	0.987
79.40162	-6.84441	3.59	-0.115
79.41767	-13.51983	5.48	0.932
79.54404	33.37161	4.54	1.252
79.55515	73.26807	5.81	-0.023
79.56540	42.79211	5.55	1.492
79.57875	33.76735	6.15	-0.043
79.66802	40.46512	6.22	1.386
79.71030	-18.13005	5.96	0.572
79.75012	33.74839	5.38	-0.167
79.78531	40.09905	4.69	0.630
79.79675	2.59581	5.34	0.412
79.81122	20.13460	6.12	1.020
79.81918	22.09649	4.96	0.937
79.82266	-18.51992	6.37	-0.134
79.84223	-50.60597	5.44	0.517
79.84869	-27.36888	5.98	-0.022
79.84893	33.98542	6.49	0.256
79.86607	58.11736	6.13	-0.031
79.89385	-13.17679	4.29	-0.235
79.89702	-1.41189	6.33	-0.105
79.99593	-12.31559	5.29	-0.104
80.00384	33.95805	5.05	0.287
80.00966	44.42538	6.49	1.331
80.06112	41.08621	5.46	0.122
80.08629	-34.69886	6.34	0.318
80.09421	62.65371	5.64	1.728
80.11003	-5.36753	6.40	-0.047
80.11216	-21.23976	4.70	-0.048
80.16950	66.74688	6.39	0.921
80.18234	2.54478	6.43	1.041
80.23590	19.81435	6.20	1.229
80.24723	27.95726	6.35	0.039
80.30286	29.56988	5.66	0.060
80.32025	-34.34505	6.05	-0.176
80.33045	4.01195	6.49	-0.089
80.38268	-0.41649	5.68	-0.125
80.43150	8.42856	5.78	-0.114
80.44062	-0.38247	4.72	-0.168
80.44273	-24.77298	5.06	0.662
80.45173	41.80457	5.22	-0.129
80.48046	-17.60363	6.47	1.206
80.59228	-56.13440	6.10	-0.091
80.63972	79.23115	5.08	0.506
80.70833	3.54445	4.99	-0.096
80.70965	41.02926	5.54	0.127
80.79998	-26.70543	6.49	0.505
80.82713	-8.41560	5.99	-0.037
80.84530	28.93676	6.45	-0.040
80.85010	-39.67842	5.73	1.626
80.86601	57.54440	5.24	-0.011
80.87565	-13.92735	5.25	-0.219
80.87944	5.32309	6.34	0.123
80.90711	16.69930	6.09	0.141
80.92629	-0.15982	5.69	-0.208
80.96387	-0.86662	6.13	0.483
80.98678	-7.80806	4.13	0.943
81.10610	17.38353	5.00	0.544
81.11871	-16.97578	5.64	-0.001
81.11924	-2.39715	3.35	-0.240
81.12045	-0.89133	5.07	0.961
81.15042	2.35316	6.33	-0.145
81.16010	31.22391	6.30	1.251
81.16050	31.14315	5.94	0.034
81.16309	37.38535	5.02	1.445
81.18667	36.19995	6.49	1.645
81.18678	1.84644	4.89	-0.200
81.19286	-52.31625	6.26	0.067
81.23157	-44.22568	6.09	1.195
81.24757	73.70720	6.48	1.738
81.25727	-10.32889	5.60	1.543
81.28276	6.34970	1.64	-0.224
81.40208	-1.49129	6.44	-0.162
81.44591	0.52024	6.18	-0.178
81.49927	-19.69540	5.78	0.441
81.50985	-5.51850	6.24	-0.047
81.52384	16.70016	6.23	-0.084
81.57297	28.60745	1.65	-0.130
81.58028	-58.91252	5.14	0.986
81.66179	6.86866	6.41	-0.023
81.70335	34.39181	5.92	0.138
81.70928	3.09567	4.59	-0.199
81.71368	33.26226	6.18	1.152
81.72632	35.45727	6.17	1.453
81.74918	-68.62254	6.02	0.346
81.76985	-11.90096	6.30	0.553
81.77217	-40.94351	5.86	0.239
81.78447	30.20860	5.69	0.175
81.79206	17.96222	5.40	-0.090
81.80789	15.25763	6.18	0.083
81.81417	2.34120	6.36	0.965
81.90209	-21.37571	6.08	1.032
81.90869	21.93697	4.88	-0.140
81.91203	34.47589	5.08	1.400
81.94004	15.87405	5.52	0.015
82.00390	33.76370	6.41	0.510
82.00613	1.29825	6.41	-0.173
82.00671	17.23913	5.77	1.634
82.06135	-20.75944	2.81	0.807
82.06390	-37.23077	5.56	0.026
82.14489	13.67898	6.35	0.168
82.23712	-3.30743	6.39	-0.007
82.31875	25.15022	5.47	-0.042
82.34869	-3.44639	5.80	1.149
82.41939	29.18646	6.20	0.476
82.42342	-0.80251	6.49	0.251
82.43326	-1.09224	4.71	1.592
82.47823	1.78926	5.77	-0.192
82.53950	-47.07765	5.46	0.615
82.54251	63.06722	5.43	1.704
82.55787	-84.78510	6.18	-0.003
82.56613	-63.92769	6.19	0.225
82.58301	4.20479	6.21	1.280
82.58647	-7.43481	6.33	-0.194
82.60902	15.36045	5.93	0.103
82.68062	22.46225	6.29	1.180
82.68785	39.82592	6.38	0.986
82.69605	5.94814	4.20	-0.143
82.70271	41.46199	5.99	1.112
82.78178	-20.86366	5.53	0.012
82.80315	-35.47052	3.86	1.130
82.81055	3.29213	5.46	-0.176
82.83706	-6.70838	6.23	-0.178
82.90002	-45.92532	5.86	1.349
82.97090	-76.34096	5.18	1.130
82.98275	-7.30154	4.62	-0.261
83.00167	-0.29909	2.25	-0.175
83.05313	18.59423	4.32	2.060
83.05893	17.05813	5.50	-0.004
83.14084	57.22107	6.44	0.587
83.15825	0.01193	6.15	1.553
83.17231	-1.59183	5.34	-0.188
83.18197	32.19202	4.71	0.281
83.18257	-17.82229	2.58	0.211
83.21423	-38.51337	5.45	1.224
83.24820	-64.22752	5.34	1.039
83.28078	-35.13938	5.75	1.085
83.38103	-1.15607	5.36	-0.175
83.38179	18.54023	5.67	-0.022
83.40632	-62.48983	3.76	0.640
83.40923	34.72557	6.27	0.170
83.41183	20.47422	6.19	-0.034
83.43485	-54.90229	6.42	0.550
83.47618	14.30558	5.60	-0.118
83.51030	-7.02375	6.45	1.116
83.51621	-1.03573	6.24	-0.160
83.51686	-1.47025	5.92	1.535
83.56989	3.76690	5.32	0.051
83.62202	-0.01234	6.25	0.997
83.68659	-73.74128	5.79	1.717
83.70515	9.48958	4.39	-0.157
83.73930	-61.17605	6.32	0.845
83.75420	-6.00927	5.67	-0.228
83.76117	-6.00203	4.78	-0.248
83.78449	9.93416	3.39	-0.160
83.80517	10.24009	5.60	0.149
83.81448	-33.07972	5.76	1.120
83.81593	-5.38732	4.98	
83.81861	-5.38970	5.13	0.020
83.84298	-4.42432	6.24	-0.148
83.84542	-5.41606	4.98	-0.097
83.84652	-4.83836	4.58	-0.183
83.85826	-5.90990	2.75	-0.210
83.86304	24.03959	5.37	-0.092
83.89960	-3.25284	6.40	-0.122
83.90070	-78.82084	6.04	-0.018
83.91452	-4.85607	5.24	0.269
83.98125	27.66235	6.27	1.529
84.01186	-47.31375	6.10	1.159
84.04290	-28.70802	6.26	0.151
84.05339	-1.20192	1.69	-0.184
84.06650	47.71529	6.10	0.295
84.14674	54.42866	5.74	1.671
84.14872	-6.06475	5.71	-0.212
84.21840	40.18238	6.08	1.032
84.22662	9.29067	4.09	0.951
84.22908	-66.56029	6.28	-0.052
84.26557	17.04032	5.53	0.237
84.26826	11.03500	5.97	1.592
84.28655	-11.77552	6.10	0.051
84.29122	-80.46912	5.65	0.600
84.28686	26.92447	5.83	-0.075
84.31279	64.15469	6.15	0.006
84.31676	66.69669	6.26	0.231
84.31878	-27.87136	6.15	0.322
84.33046	8.95187	6.11	-0.170
84.36399	-5.93839	6.03	-0.210
84.41119	21.14255	2.97	-0.148
84.43591	-28.68969	5.28	0.486
84.44086	33.55917	6.36	1.306
84.47244	-4.81403	6.16	-0.029
84.50466	7.54142	5.87	-0.061
84.57258	-50.64099	6.43	-0.047
84.65822	-6.57396	5.96	-0.216
84.65869	30.49241	5.40	0.450
84.68135	-40.70731	5.81	-0.078
84.68653	-2.60007	3.77	-0.190
84.72118	-7.21283	4.77	0.139
84.73905	26.61807	6.45	0.980
84.78624	41.35856	6.44	1.000
84.79644	4.12147	4.50	-0.098
84.81760	-17.84941	6.40	-0.095
84.82630	29.21521	5.98	0.144
84.86295	21.76293	6.42	0.066
84.87850	-9.70663	6.49	-0.107
84.87980	-3.56470	5.99	0.294
84.91225	-34.07411	2.65	-0.120
84.93210	75.04387	6.19	1.606
84.93416	25.89709	5.18	-0.150
84.95767	-32.62922	5.44	0.913
85.14961	31.35820	6.04	0.037
85.15540	-2.82524	6.22	-0.194
85.17521	31.92061	6.23	2.088
85.18970	-1.94257	1.74	-0.199
85.19246	-10.40866	6.46	-0.127
85.21131	-1.12879	4.95	-0.197
85.27332	0.33775	5.93	0.311
85.32383	16.53415	4.84	-0.125
85.33473	53.48106	6.21	0.840
85.33741	29.48742	6.40	-0.081
85.36219	-33.40074	6.35	-0.040
85.41807	-2.89646	6.41	0.320
85.42296	-16.72583	6.22	-0.136
85.51661	22.66032	6.35	1.194
85.54825	-30.53544	6.18	0.023
85.55816	-22.37372	5.88	0.080
85.56032	-17.53038	6.15	1.376
85.56331	-34.66781	5.29	-0.032
85.61020	65.69765	5.62	1.249
85.61930	1.47463	4.90	1.144
85.72465	-6.79617	5.97	0.447
85.75698	56.58152	6.05	0.951
85.78883	-1.61325	6.31	1.467
85.83126	23.20437	6.23	-0.071
85.84029	-18.55748	5.73	-0.014
85.87577	-39.40691	6.25	0.377
85.92141	-45.83286	6.38	0.295
86.03519	61.47654	6.17	0.902
86.11579	-22.44838	3.59	0.481
86.11831	-20.12657	6.34	0.580
86.19324	-65.73553	4.34	0.217
86.25537	12.88833	6.47	0.234
86.25747	4.00811	6.09	0.320
86.47516	49.82626	5.46	0.030
86.49956	-32.30643	5.18	-0.274
86.51195	-4.26848	6.24	1.050
86.61405	-46.59718	5.31	1.040
86.62663	56.11558	5.93	0.164
86.64547	1.16819	5.95	0.773
86.68957	15.82250	6.00	-0.061
86.71723	9.52234	5.78	0.888
86.73892	-14.82195	3.55	0.104
86.75018	51.52087	6.47	0.898
86.76907	-28.63891	6.22	-0.132
86.78252	-16.23808	6.18	0.892
86.80480	14.48832	5.72	0.077
86.80554	-54.36073	6.19	1.406
86.81119	42.52675	6.30	1.354
86.82120	-51.06651	3.85	0.171
86.82786	-35.67407	6.29	1.191
86.85915	17.72914	5.47	0.301
86.86205	-10.53296	6.04	0.135
86.88434	63.59885	6.49	1.010
86.89444	25.56862	6.48	1.193
86.92878	13.89960	5.28	-0.156
86.93912	-9.66960	2.07	-0.168
87.00098	6.45416	5.26	0.234
87.09320	20.86948	6.03	-0.051
87.14559	-4.09465	5.97	0.639
87.25403	24.56753	4.88	1.021
87.26939	62.80819	6.18	0.128
87.29349	39.18107	4.51	0.949
87.38721	12.65132	4.89	-0.068
87.39219	-44.87539	6.38	1.262
87.40226	-14.48367	5.49	0.870
87.45693	-56.16666	4.50	1.075
87.47292	-22.97187	5.87	0.055
87.47300	-66.90119	5.10	-0.128
87.51119	9.87122	5.79	0.876
87.55444	4.42341	5.96	1.361
87.56994	-79.36136	5.46	-0.076
87.62009	-52.76788	6.32	0.746
87.62044	14.30561	5.54	1.006
87.62511	2.02470	5.97	0.953
87.72175	-52.10887	5.16	0.960
87.73488	51.51458	6.29	1.047
87.73997	-35.76831	3.12	1.146
87.74212	27.96786	5.60	0.978
87.76016	37.30557	4.72	1.621
87.83040	-20.87909	3.76	0.984
87.84160	-7.51800	5.36	-0.195
87.84621	-64.03357	6.35	0.866
87.85729	32.12469	6.28	1.752
87.86923	-22.92695	6.16	1.020
87.87250	39.14848	3.97	1.132
87.99828	-29.44943	6.47	1.473
88.03220	-9.04190	5.95	0.100
88.07189	58.96409	6.14	-0.036
88.08417	-57.15619	5.93	0.656
88.09288	14.17179	5.60	-0.053
88.09752	19.86785	5.96	0.549
88.11016	1.85513	4.76	1.382
88.13827	-37.63106	5.62	1.046
88.16527	39.57470	6.40	0.098
88.16705	33.91746	6.04	1.579
88.23122	68.47154	6.22	0.955
88.27867	-33.80136	4.88	-0.154
88.33186	27.61226	4.56	-0.008
88.52523	-63.08963	4.65	1.022
88.55563	10.58640	6.13	1.404
88.55843	-29.14721	6.34	0.370
88.56566	3.22564	6.30	1.283
88.59576	20.27617	4.39	0.594
88.67133	-49.62701	6.11	-0.148
88.68179	-11.77419	5.62	1.523
88.68349	0.96862	5.99	1.328
88.70872	-52.63548	5.29	0.295
88.71159	55.70695	4.96	0.052
88.71868	-39.95786	5.55	1.515
88.73619	19.74961	5.92	-0.145
88.74095	59.88837	5.20	0.010
88.74579	31.70150	5.90	0.144
88.79294	7.40706	0.45	1.500
88.87465	-37.12067	4.97	1.102
88.87571	-4.61655	5.87	1.173
88.89737	-4.78859	6.28	0.056
89.05946	-22.83998	5.95	1.107
89.08727	-31.38244	5.52	0.382
89.10122	-14.16770	3.71	0.337
89.11682	9.50940	5.97	-0.038
89.14070	28.94227	6.35	0.275
89.14349	-23.21531	6.37	1.068
89.20419	-31.97625	6.44	1.070
89.20604	11.52106	5.89	1.111
89.23383	24.24969	6.03	0.346
89.30989	-53.42569	6.48	1.480
89.38421	-35.28328	4.36	-0.165
89.39592	66.09610	6.24	1.369
89.47705	1.22431	6.22	1.461
89.49857	25.95391	4.81	-0.088
89.54879	-0.99402	6.21	1.140
89.60184	1.83711	5.89	0.223
89.65645	-44.03456	5.81	1.061
89.70655	0.55298	5.21	0.009
89.72182	12.80826	5.70	0.874
89.75450	-9.38222	6.15	0.333
89.76797	-9.55825	5.04	0.189
89.78669	-42.81514	3.96	1.146
89.84075	49.92454	5.90	1.194
89.88182	54.28466	3.72	1.010
89.88218	44.94743	1.90	0.077
89.93029	37.21259	2.65	-0.083
89.94094	55.32086	6.42	0.318
89.94978	54.54701	6.14	1.197
89.98375	45.93674	4.30	1.701
90.01396	-3.07425	4.53	1.202
90.07358	-12.90003	6.21	0.358
90.07875	44.59201	6.21	1.128
90.20488	-51.21632	5.65	0.207
90.24401	47.90192	5.71	-0.007
90.25189	27.57236	6.04	0.218
90.29185	31.03452	6.18	0.095
90.30457	-25.41776	6.04	0.027
90.31791	-33.91184	5.54	1.580
90.33447	85.18211	6.17	1.564
90.42344	22.40100	6.36	-0.071
90.42941	48.95945	5.98	1.437
90.46009	-10.59793	4.92	-0.128
90.53890	-60.09683	6.41	1.508
90.59583	9.64728	4.12	0.170
90.64088	-14.49716	6.20	0.947
90.68809	47.80953	6.49	0.567
90.70251	49.90568	6.04	-0.033
90.72290	43.37833	6.38	1.205
90.72989	32.63570	6.23	0.456
90.81502	-26.28454	5.03	1.335
90.82482	42.91156	6.08	0.979
90.85320	11.68106	6.09	-0.035
90.86403	19.69056	5.14	-0.097
90.97994	20.13845	4.64	0.236
91.03006	23.26334	4.16	0.835
91.05626	-6.70894	5.19	-0.066
91.08444	-32.17243	5.65	-0.186
91.11850	-45.03660	6.35	0.517
91.12128	51.57339	6.39	0.196
91.16709	-45.07893	5.93	0.493
91.24243	5.41997	5.67	1.047
91.24317	4.15867	5.63	1.041
91.24637	-16.48443	4.92	0.196
91.26076	37.96427	6.32	0.825
91.26410	42.98164	5.90	0.358
91.28429	59.39321	6.32	1.116
91.28894	75.58592	6.28	1.512
91.36263	-10.24260	5.88	0.374
91.36325	-35.51365	5.80	0.027
91.39125	33.59905	6.23	-0.079
91.52308	-29.75862	5.79	0.041
91.53556	35.38774	6.12	0.600
91.53885	-14.93525	4.67	0.046
91.53909	-66.03962	5.72	-0.024
91.59353	29.51241	6.01	1.730
91.63374	-23.11085	5.46	0.064
91.64624	38.48264	5.35	0.251
91.66140	-4.19384	5.37	-0.122
91.66314	63.45384	6.42	1.011
91.67100	-42.29880	6.15	0.246
91.73964	-21.81230	5.74	1.584
91.75788	-45.09151	6.48	1.162
91.76412	-62.15458	5.04	1.256
91.76529	-34.31202	5.82	-0.137
91.86149	41.85428	6.15	1.202
91.88180	-37.25292	5.00	-0.095
91.89302	14.76847	4.42	-0.164
91.92349	-19.16587	5.28	1.661
91.97025	-42.15404	5.50	0.007
92.09640	41.05573	6.34	1.044
92.14429	-44.35621	6.26	-0.135
92.18442	-68.84341	5.06	-0.072
92.19876	-6.82137	6.46	0.876
92.24110	-22.42741	5.49	-0.010
92.24126	2.49969	5.70	0.067
92.33416	-18.12639	6.36	-0.040
92.34760	-49.56283	6.48	0.502
92.38515	22.19026	5.93	1.626
92.39385	-14.58462	5.56	1.150
92.40105	-5.71143	6.16	0.352
92.43327	23.11347	5.75	0.192
92.44644	-26.70109	6.27	1.010
92.44984	-22.77434	5.71	0.454
92.49589	58.93569	5.35	1.096
92.54335	-40.35379	5.54	1.665
92.56031	-74.75305	5.08	0.714
92.57462	-54.96864	4.72	-0.229
92.64450	-27.15434	5.72	1.072
92.66637	-45.28199	6.28	-0.012
92.75506	-6.75422	6.15	0.010
92.75738	18.13046	6.37	1.350
92.80670	60.45349	6.48	1.698
92.80690	-26.48210	6.08	-0.021
92.81243	-65.58942	5.01	1.599
92.86629	13.63856	6.04	0.021
92.88461	24.42025	5.83	1.110
92.90246	48.71099	5.78	0.100
92.93215	-4.66544	6.18	-0.079
92.94131	52.64719	6.28	0.141
92.96589	-6.55029	5.06	-0.201
92.98498	14.20877	4.45	-0.180
93.00558	19.79054	5.76	-0.071
93.01366	16.13041	4.95	-0.149
93.08385	32.69338	5.78	1.646
93.21276	65.71842	5.36	1.344
93.24822	6.01626	6.45	1.621
93.30210	10.62714	6.43	0.663
93.43873	-23.86194	6.37	0.713
93.43892	51.17247	6.07	1.051
93.47597	-3.74137	5.83	0.910
93.61910	17.90635	5.86	0.253
93.65293	-4.56846	5.83	-0.155
93.71199	19.15645	5.20	0.430
93.71389	-6.27478	3.99	1.319
93.71941	22.50680	3.31	1.600
93.78501	-20.27219	5.88	1.322
93.78530	13.85110	5.91	-0.231
93.82385	-18.47716	5.99	1.058
93.84454	29.49808	4.32	1.021
93.85470	16.14318	5.34	-0.101
93.85895	-9.03576	6.09	-0.081
93.87364	-4.91472	5.99	0.097
93.89277	-0.51219	5.62	0.506
93.91740	6.06617	6.07	-0.124
93.91892	59.99898	5.37	1.339
93.93703	-13.71841	5.00	-0.078
93.93735	12.55107	5.44	0.015
93.97489	1.16908	6.37	0.443
94.03205	-16.61801	5.97	-0.167
94.07827	-59.21350	6.44	0.593
94.07936	23.97003	6.09	0.897
94.09913	17.18161	6.39	1.565
94.11092	12.27216	5.04	0.431
94.13807	-35.14052	4.37	0.978
94.14828	-39.26439	6.00	0.163
94.24461	23.74091	6.24	0.446
94.25513	-37.73745	5.54	1.129
94.26500	-22.71523	6.05	0.576
94.27758	9.94239	5.39	0.106
94.28987	-37.25350	5.88	0.139
94.31724	5.10011	5.70	0.610
94.42385	-16.81591	5.15	1.293
94.46561	-52.73303	6.40	1.456
94.47842	61.51529	5.01	1.843
94.52337	14.38286	6.12	0.035
94.55720	-19.96697	5.51	-0.163
94.57027	46.36044	6.33	1.113
94.66814	9.04718	6.24	0.870
94.70330	-15.02495	6.04	1.663
94.71076	-9.39002	5.36	1.239
94.71157	69.31979	4.76	0.025
94.74573	-20.92561	5.79	-0.155
94.75768	17.32526	6.27	-0.094
94.78305	-8.58601	6.22	-0.043
94.90578	59.01096	4.44	0.032
94.90904	-22.10312	6.29	1.473
94.92065	-34.39659	5.76	-0.080
94.92833	-7.82291	5.27	-0.177
94.99833	-2.94449	4.91	1.613
95.01760	14.65113	5.67	1.578
95.07830	-30.06337	3.02	-0.160
95.14649	-23.63796	6.49	1.132
95.15100	-34.14414	5.55	-0.182
95.27263	-11.81732	6.32	1.676
95.29966	29.54082	6.41	0.048
95.35298	-11.77324	5.48	0.002
95.35738	2.26852	6.30	0.251
95.35802	17.76350	6.32	1.100
95.44221	53.45218	5.34	0.448
95.51480	59.37210	6.05	0.153
95.52845	-33.43640	3.85	0.858
95.65163	12.57024	6.00	0.319
95.65948	-69.98404	5.56	1.510
95.67494	-17.95592	1.98	-0.240
95.73261	-56.36997	5.60	0.242
95.74011	22.51359	2.87	1.621
95.75606	-63.68314	6.30	1.612
95.77654	56.97635	6.47	1.075
95.81031	-31.79031	6.31	0.893
95.82705	3.76449	6.41	-0.149
95.89966	-9.87473	6.11	1.841
95.94202	4.59286	4.39	0.215
95.94226	-15.07126	6.27	1.534
95.94553	-58.54387	6.47	0.120
95.98298	-25.57763	5.61	1.561
95.98796	-52.69566	-0.62	0.164
96.00421	-36.70776	5.62	1.027
96.00951	8.88501	6.24	-0.060
96.04300	-11.53009	5.21	1.230
96.05768	-60.28133	5.78	-0.001
96.08574	-12.96194	6.12	-0.076
96.11082	-63.42893	6.45	0.660
96.18228	25.04871	6.35	1.210
96.18283	-28.78011	6.37	0.626
96.18540	-40.28398	6.30	-0.049
96.21987	16.05713	6.35	1.063
96.22459	49.28789	4.92	1.905
96.23249	-63.82814	6.26	-0.119
96.30417	7.08571	6.26	0.850
96.31894	-0.94588	5.88	0.564
96.36739	14.72199	6.30	2.349
96.36929	-69.69030	5.37	0.971
96.37502	-35.06415	6.24	1.353
96.38724	23.32717	6.05	0.020
96.43188	-48.17690	5.76	-0.061
96.44639	-3.88903	6.33	1.018
96.46802	11.12588	6.39	0.077
96.49512	-7.89498	6.40	0.145
96.53980	-3.51569	6.42	1.039
96.60765	56.28510	5.53	0.238
96.64352	-4.59740	6.16	-0.151
96.66494	-1.50734	5.87	0.070
96.67774	-14.60343	6.32	1.242
96.68688	-7.51194	6.35	-0.061
96.70364	58.41741	5.21	1.538
96.76719	-58.00212	5.82	1.279
96.78160	-37.89551	6.48	0.394
96.79736	-25.85650	6.05	0.545
96.80734	0.29925	5.19	1.186
96.81496	-0.27600	5.55	1.376
96.83521	2.90829	5.55	1.035
96.89801	32.56295	6.43	1.264
96.98613	20.49632	6.22	0.041
96.98987	-4.76215	5.06	-0.175
97.04253	-32.58007	4.47	-0.169
97.06035	70.53532	6.03	0.103
97.06986	1.91268	6.48	-0.064
97.07839	10.30389	6.16	1.150
97.11689	16.23839	6.24	0.894
97.14204	30.49303	5.75	0.779
97.15592	-17.46601	5.76	1.118
97.16351	-32.37128	5.74	-0.160
97.17678	-41.07488	6.32	0.390
97.20446	-7.03306	3.76	-0.113
97.24078	20.21213	4.13	-0.115
97.31171	2.64619	6.17	1.539
97.36875	-56.85277	5.20	1.087
97.45444	-50.23908	5.28	0.371
97.51239	46.68555	5.88	1.448
97.51255	-65.56824	6.28	0.329
97.54698	-10.08151	5.92	1.373
97.54924	-19.21489	6.44	1.683
97.64535	-13.14817	6.16	-0.137
97.69287	-27.76957	5.92	-0.156
97.69628	58.16263	5.86	0.934
97.74956	-40.91625	6.19	1.398
97.78985	11.25138	6.17	-0.116
97.79433	-61.87954	6.15	-0.147
97.80456	-35.25884	5.82	0.813
97.82632	-51.82595	5.58	0.534
97.84602	-12.39195	5.16	1.262
97.84998	-32.86855	6.31	1.665
97.89562	-36.94003	6.26	1.599
97.90597	15.90350	6.38	0.275
97.95125	11.54441	5.22	0.185
97.95859	-8.15824	5.43	1.373
97.96403	-23.41842	4.34	-0.245
97.99296	-58.75383	5.69	-0.057
98.07727	17.78435	6.26	0.541
98.08002	4.85600	5.88	0.997
98.08911	-37.69670	5.25	0.982
98.09637	-5.86882	5.60	0.256
98.09698	11.67352	6.08	1.069
98.11327	32.45490	5.82	0.188
98.16240	-32.03045	5.73	-0.180
98.19531	-11.16638	6.30	1.096
98.22595	7.33297	4.47	0.023
98.29266	-38.62519	6.44	0.999
98.35951	-52.32923	6.18	1.088
98.36113	-20.92396	6.39	0.817
98.40068	14.15516	5.57	1.105
98.40801	-1.22015	5.09	-0.132
98.45617	-36.23203	5.42	1.419
98.63666	55.35304	6.45	1.554
98.64721	-32.71625	5.62	-0.085
98.69299	7.57248	6.44	-0.010
98.74408	-52.97561	4.35	-0.021
98.76412	-22.96479	4.54	-0.035
98.80026	28.02231	5.26	-0.008
98.81595	0.89022	5.78	0.004
98.82332	9.98834	5.93	1.508
98.85091	-36.77988	5.59	-0.130
98.87841	-22.10905	6.32	1.030
98.97512	-36.08863	6.36	0.486
99.09521	-18.65990	5.71	0.848
99.13682	38.44550	5.40	2.773
99.14722	-5.21114	5.52	-0.082
99.17099	-19.25588	3.95	1.037
99.17110	-22.61473	6.35	-0.117
99.19416	-13.32104	5.95	1.562
99.21365	-41.55714	6.36	1.147
99.25787	-38.14651	6.03	1.030
99.30764	-36.99065	5.72	-0.112
99.35017	6.13538	6.05	0.018
99.36370	24.59085	6.44	0.101
99.40373	10.85329	6.39	1.351
99.40995	56.85753	5.87	0.006
99.41803	2.70416	6.17	1.080
99.41997	-12.98512	6.11	0.994
99.42244	61.48123	5.94	0.899
99.42792	16.39925	1.93	0.001
99.44030	-43.19593	3.17	-0.103
99.44841	-32.33973	5.25	1.177
99.46960	4.95667	6.14	0.091
99.47259	-18.23748	4.42	1.137
99.47871	73.69564	6.26	0.396
99.50151	-61.53339	6.15	0.624
99.58523	-2.54390	6.14	1.470
99.59545	-23.58032	6.48	0.664
99.59586	28.98435	5.76	-0.001
99.64761	-16.87355	6.01	0.042
99.65682	-48.22018	5.05	0.997
99.65911	1.61352	6.23	0.086
99.66474	39.39085	5.70	1.367
99.70492	39.90256	5.34	-0.075
99.77208	22.03088	6.09	1.027
99.81966	-14.14576	4.82	1.459
99.83261	42.48888	4.80	1.236
